"filename", "language", "JavaScript", "Vue", "Markdown", "CSS", "JSON", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\home\ContactPage.vue", "Vue", 0, 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\home\HomePage.vue", "Vue", 0, 90, 0, 0, 0, 0, 0, 0, 0, 3, 93
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\home\HousingLimits.vue", "Vue", 0, 183, 0, 0, 0, 0, 0, 0, 0, 5, 188
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\home\TrailerPage.vue", "Vue", 0, 295, 0, 0, 0, 0, 0, 0, 10, 23, 328
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\items\EditItem.vue", "Vue", 0, 86, 0, 0, 0, 0, 0, 0, 0, 4, 90
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\items\ItemCatalog.vue", "Vue", 0, 83, 0, 0, 0, 0, 0, 0, 0, 3, 86
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\items\SingleItem.vue", "Vue", 0, 58, 0, 0, 0, 0, 0, 0, 0, 3, 61
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\login\LinkAccount.vue", "Vue", 0, 118, 0, 0, 0, 0, 0, 0, 0, 10, 128
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\login\LoginView.vue", "Vue", 0, 81, 0, 0, 0, 0, 0, 0, 1, 6, 88
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\profile\DashboardPage.vue", "Vue", 0, 244, 0, 0, 0, 0, 0, 0, 2, 13, 259
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\profile\ProfilePage.vue", "Vue", 0, 202, 0, 0, 0, 0, 0, 0, 2, 9, 213
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\vue.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 1463, 4918, 19, 47, 35952, 295, 26, 8, 243, 603, 43574
